day,price_M,price_E,gas_M,gas_E,total_solar_M,total_solar_E,avg_storage_fraction,avg_profit
1,38.245430679512374,193.28535643717544,28.11450388427759,97.76335880754755,51.88549611572241,22.23664119245246,0.0,209.41334212715736
2,36.919252461429274,192.4563787793705,27.361549501401463,97.4406640720292,52.63845049859854,22.5593359279708,0.0,209.50201145002725
3,39.95942223976641,194.34820046860526,29.078788223767262,98.17662352447168,50.92121177623274,21.823376475528317,0.0,209.2038716164957
4,37.15579199813611,192.6046732942082,27.496299212855327,97.49841394836656,52.50370078714467,22.50158605163343,0.0,209.4909071885297
5,38.60310978715126,193.50793383818487,28.31654231178834,97.84994670505215,51.68345768821166,22.150053294947853,0.0,209.37844129428868
6,38.53973497802813,193.46852731672024,28.280776049578918,97.8346183069624,51.71922395042108,22.165381693037606,0.0,209.3849645961163
7,36.527917441313924,192.21061327104704,27.13817874723727,97.34493374881598,52.86182125276273,22.655066251184024,0.0,209.51588067848976
8,37.08646066396986,192.56122707129515,27.456823726079236,97.48149588260539,52.543176273920764,22.518504117394613,0.0,209.49437415661052
9,39.15724654426186,193.85194267550727,28.628701283274673,97.98372912140343,51.37129871672533,22.01627087859657,0.0,209.31518298119593
10,38.33562976512244,193.34152528721359,28.16549465380914,97.78521199448963,51.83450534619086,22.214788005510368,0.0,209.4049800975768
11,37.90974671066586,193.0760828387633,27.924492635091312,97.68192541503913,52.07550736490869,22.318074584960865,0.0,209.44185704669013
12,36.93251063916076,192.46469586337074,27.369107560445947,97.44390324019112,52.63089243955405,22.55609675980888,0.0,209.50144325712446
13,36.27837922213014,192.0536195445019,26.995456175657473,97.28376693242464,53.00454382434253,22.716233067575367,0.0,209.52179081332892
14,39.387678604702025,193.99470526789335,28.75820873868163,98.03923231657784,51.24179126131837,21.96076768342216,0.0,209.28559531773982
15,38.20057300372255,193.25741265140059,28.089134899801316,97.75248638562914,51.910865100198684,22.247513614370867,0.0,209.41739036622184
16,38.21853881920835,193.26860513130111,28.0992961818395,97.75684122078836,51.9007038181605,22.243158779211644,0.0,209.41577781969636
17,34.48443777498498,190.91839471591442,25.96262337971877,96.84112430559375,54.03737662028123,23.15887569440624,0.0,209.4967974195655
18,36.83835733627405,192.40561872286165,27.315420221733874,97.42089438074309,52.68457977826613,22.57910561925691,0.0,209.5053387621724
19,33.53128670273395,190.3103474787274,25.40883660909509,96.60378711818362,54.59116339090491,23.39621288181639,0.0,209.43511181069934
20,35.30415401434243,191.4385766005477,26.436062676682468,97.04402686143534,53.56393732331753,22.95597313856466,0.0,209.5229438334737
21,37.84037585267333,193.0327886629695,27.885177490347992,97.665076067292,52.11482250965201,22.334923932708,0.0,209.4472374188839
22,38.1341601887009,193.21602904073387,28.051562909991674,97.73638410428214,51.948437090008326,22.263615895717855,0.0,209.4232492333931
23,37.738765680304496,192.9693449806469,27.827561040552965,97.64038330309413,52.172438959447035,22.359616696905874,0.0,209.45480122936078
24,39.25169574336382,193.9104784746833,28.681804846318613,98.0064877912794,51.31819515368139,21.993512208720595,0.0,209.30328860008893
25,37.98226956012814,193.12132701572656,27.965576388694465,97.69953273801191,52.034423611305535,22.300467261988086,0.0,209.43604449054698
26,37.335880466364536,192.71744833161253,27.598757669100756,97.5423247153289,52.401242330899244,22.457675284671105,0.0,209.48107987590635
27,37.62982389487321,192.90128510819565,27.765747532276997,97.61389179954728,52.234252467723,22.386108200452718,0.0,209.46249206930696
28,36.48379536145182,192.18287034212338,27.11295968317294,97.3341255785027,52.88704031682706,22.66587442149731,0.0,209.5170920443146
29,38.33182582742911,193.33915703633093,28.163344795707737,97.78429062673189,51.83665520429226,22.215709373268115,0.0,209.4053387319734
30,33.080509013080516,190.02155276635048,25.14567017002991,96.49100150144139,54.85432982997009,23.50899849855861,0.0,209.39418503415754
31,35.22595654208254,191.38906058865862,26.39100887875336,97.0247180908943,53.60899112124664,22.975281909105703,0.0,209.5215204281756
32,36.637159820402445,192.27927304230676,27.20058870329631,97.37168087284128,52.79941129670369,22.628319127158722,0.0,209.5125740679967
33,38.55485286443347,193.47792882305603,28.289309224929134,97.83827538211249,51.710690775070866,22.161724617887515,0.0,209.38342175222948
34,37.08500179410719,192.56031269898153,27.4559929000798,97.48113981431992,52.5440070999202,22.518860185680087,0.0,209.49444521831083
35,36.08845173931149,191.93398198456416,26.886675917600805,97.23714682182892,53.113324082399195,22.762853178171085,0.0,209.52475615594804
36,39.84865935236822,194.27979852880782,29.016766039338684,98.15004258828802,50.983233960661316,21.84995741171199,0.0,209.2206282196974
37,36.396561831132225,192.12799986545306,27.063078478804258,97.31274791948753,52.93692152119574,22.68725208051246,0.0,209.51927673227308
38,37.72700459610558,192.9619993246813,27.820889792673043,97.63752419685987,52.17911020732696,22.362475803140125,0.0,209.45565238120835
39,34.24067111503558,190.76321845980394,25.8213333577692,96.78057143904394,54.1786666422308,23.219428560956057,0.0,209.4842276344415
40,36.29785096775827,192.06587781842634,27.006601108057666,97.28854333202472,52.993398891942334,22.711456667975288,0.0,209.52141189081718
41,37.03024743855057,192.5259891637808,27.424804852071738,97.46777350803075,52.57519514792826,22.532226491969254,0.0,209.4970559628865
42,38.54789783806276,193.4736037260806,28.285383609411298,97.83659297546198,51.7146163905887,22.163407024538017,0.0,209.38413257481062
43,37.20193223286894,192.63357778515328,27.522560860418295,97.50966894017927,52.477439139581705,22.49033105982073,0.0,209.48850240836828
44,34.18968962337893,190.73073631297098,25.791754579460658,96.76789481976886,54.20824542053934,23.232105180231144,0.0,209.4813204360688
45,36.55269874674173,192.22619218809746,27.152340031024416,97.35100287043903,52.847659968975584,22.648997129560964,0.0,209.5151689803621
46,37.79997567905016,193.00756761179275,27.862273488404554,97.65526006645909,52.137726511595446,22.344739933540907,0.0,209.45028991966998
47,37.41632889525249,192.7677910946906,27.644490644466195,97.56192456191408,52.355509355533805,22.438075438085917,0.0,209.4763065380325
48,38.42769088083568,193.39882610247224,28.217509512780858,97.80750407690608,51.78249048721914,22.19249592309392,0.0,209.39613990976449
49,36.56397427575282,192.23327990695944,27.158782701734175,97.35376401502893,52.841217298265825,22.64623598497107,0.0,209.51483769770857
