T,seed,metric,value
200,0,f,0.6328666666666666
200,0,ratio,0.8728680972488444
200,0,profit,275.0186212934361
200,0,gas_M,60.7692051347523
200,0,gas_E,67.6769804043367
200,0,gas_total,128.44618553908902
200,0,gas_total_pct,2.7648259463838567
200,0,cost_pct,-26.935465396757532
200,0,dCS,3366.4463875690526
200,0,dSolar,1967.1827734475655
200,0,dGasRent,-3014.6599605746196
200,0,dTotal,2318.9692004420103
200,1,f,0.6282333333333334
200,1,ratio,0.8659912701656913
200,1,profit,275.3387451298213
200,1,gas_M,60.50529539588715
200,1,gas_E,67.85118041548886
200,1,gas_total,128.35647581137601
200,1,gas_total_pct,2.700224816963892
200,1,cost_pct,-26.96375245070659
200,1,dCS,3362.0558925491932
200,1,dSolar,1976.6867299841642
200,1,dGasRent,-3017.550177953636
200,1,dTotal,2321.192444579716
200,2,f,0.6339333333333333
200,2,ratio,0.8768659645087893
200,2,profit,274.5427423782372
200,2,gas_M,60.854509772344585
200,2,gas_E,67.61974666417618
200,2,gas_total,128.47425643652076
200,2,gas_total_pct,2.725661665355566
200,2,cost_pct,-26.906792033541212
200,2,dCS,3378.9616372374185
200,2,dSolar,1952.7598923776904
200,2,dGasRent,-3013.581734130282
200,2,dTotal,2318.1397954848253
200,3,f,0.6275
200,3,ratio,0.8665186703925063
200,3,profit,275.46158722179183
200,3,gas_M,60.43550100507133
200,3,gas_E,67.74630370108083
200,3,gas_total,128.18180470615215
200,3,gas_total_pct,2.459556248741597
200,3,cost_pct,-27.277659965384906
200,3,dCS,3426.80308741334
200,3,dSolar,1980.5330824914736
200,3,dGasRent,-3056.32044385925
200,3,dTotal,2351.015726045571
200,4,f,0.6275333333333334
200,4,ratio,0.8655408687196329
200,4,profit,275.3224694858175
200,4,gas_M,60.4933679697539
200,4,gas_E,67.87351186825934
200,4,gas_total,128.36687983801323
200,4,gas_total_pct,2.832006673205949
200,4,cost_pct,-26.830274229549985
200,4,dCS,3328.882380370109
200,4,dSolar,1975.5113661959895
200,4,dGasRent,-2998.135595885191
200,4,dTotal,2306.258150680912
200,5,f,0.6365666666666666
200,5,ratio,0.882262615196842
200,5,profit,274.6235552269929
200,5,gas_M,60.90661505295722
200,5,gas_E,67.29969019863043
200,5,gas_total,128.20630525158765
200,5,gas_total_pct,2.6944676953451423
200,5,cost_pct,-27.168435847310235
200,5,dCS,3417.062462097001
200,5,dSolar,1954.8829444532166
200,5,dGasRent,-3036.3169689196893
200,5,dTotal,2335.6284376305257
200,6,f,0.6335
200,6,ratio,0.8753127273799082
200,6,profit,274.6073297263989
200,6,gas_M,60.791428043766345
200,6,gas_E,67.66160369927917
200,6,gas_total,128.45303174304553
200,6,gas_total_pct,2.8188726759603466
200,6,cost_pct,-26.81707253426895
200,6,dCS,3352.534223270355
200,6,dSolar,1954.511260472279
200,6,dGasRent,-2999.634403854536
200,6,dTotal,2307.411079888102
200,7,f,0.6309333333333332
200,7,ratio,0.8708577835670931
200,7,profit,275.23146037208693
200,7,gas_M,60.60338371188712
200,7,gas_E,67.6468291161559
200,7,gas_total,128.250212828043
200,7,gas_total_pct,2.60453742925127
200,7,cost_pct,-27.157012440673565
200,7,dCS,3404.191549601521
200,7,dSolar,1973.4978809425174
200,7,dGasRent,-3039.563591177067
200,7,dTotal,2338.1258393669677
200,8,f,0.6278
200,8,ratio,0.864436587153348
200,8,profit,275.2974422764328
200,8,gas_M,60.522409550064054
200,8,gas_E,67.95503678820631
200,8,gas_total,128.47744633827037
200,8,gas_total_pct,2.657188314633311
200,8,cost_pct,-26.919770724878973
200,8,dCS,3362.9502190576604
200,8,dSolar,1976.0117585084918
200,8,dGasRent,-3017.674161233046
200,8,dTotal,2321.287816333108
200,9,f,0.6296999999999999
200,9,ratio,0.8674392234770417
200,9,profit,275.193236895156
200,9,gas_M,60.53007405113156
200,9,gas_E,67.81800777780091
200,9,gas_total,128.34808182893246
200,9,gas_total_pct,2.4862982769134336
200,9,cost_pct,-27.141483672206817
200,9,dCS,3414.358452174347
200,9,dSolar,1972.7834914773148
200,9,dGasRent,-3044.9063159770376
200,9,dTotal,2342.235627674637
200,10,f,0.6255666666666666
200,10,ratio,0.8604424327724091
200,10,profit,275.60343356409993
200,10,gas_M,60.40975194970511
200,10,gas_E,68.05618533721595
200,10,gas_total,128.46593728692108
200,10,gas_total_pct,2.784587272044235
200,10,cost_pct,-26.80873467934406
200,10,dCS,3323.6678319160783
200,10,dSolar,1984.550522222159
200,10,dGasRent,-3000.297330599883
200,10,dTotal,2307.921023538366
200,11,f,0.6253999999999998
200,11,ratio,0.8608823886824714
200,11,profit,275.649497581734
